customer_id,net_economic_value_ppo,reward_ppo,net_economic_value_myopic,reward_myopic,immediate_reward_gap,total_value_gap,lower_immediate_higher_total,world_id,policy_seed
ROBUST_TEST_000040,357.455925964357,-54.23013942233895,1440.3175595656903,-54.76213905214033,0.5319996298013763,-1082.8616336013333,False,nominal,202
ROBUST_TEST_000041,605.5588587373526,-204.240100976853,2109.231516105405,-204.240100976853,0.0,-1503.6726573680521,False,nominal,202
ROBUST_TEST_000042,-515.7202489354668,-50.614610889219605,-2541.845724383621,-50.614610889219605,0.0,2026.1254754481542,False,nominal,202
ROBUST_TEST_000043,-1246.3680893340904,-208.06232379080532,-149.05082464128685,-208.06232379080532,0.0,-1097.3172646928035,False,nominal,202
ROBUST_TEST_000044,-295.9655990053169,-75.03483963575117,-561.8680520913399,-76.05742437411179,1.0225847383606208,265.902453086023,False,nominal,202
ROBUST_TEST_000045,524.9045548613567,-25.607289501568594,1113.426891831969,-25.607289501568594,0.0,-588.5223369706123,False,nominal,202
ROBUST_TEST_000046,-1514.3557612052334,-90.59571287402188,2069.1690679629764,-90.59571287402188,0.0,-3583.52482916821,False,nominal,202
ROBUST_TEST_000047,-2113.216250323902,-291.84761768911955,-2601.047069903572,-291.84761768911955,0.0,487.8308195796699,False,nominal,202
ROBUST_TEST_000048,-2635.4926151274976,-533.4446878162307,-5825.3532581936415,-533.4446878162307,0.0,3189.860643066144,False,nominal,202
ROBUST_TEST_000049,-1022.063279019764,-220.31759255693527,-2935.0757326664434,-221.953554193446,1.6359616365107286,1913.0124536466794,False,nominal,202
ROBUST_TEST_000050,253.41335682764856,-61.839118584710896,680.6011387062905,-63.14269293207939,1.303574347368496,-427.18778187864194,False,nominal,202
ROBUST_TEST_000051,460.936094065536,-137.79602482855435,2497.1718268892546,-140.2426294307302,2.446604602175853,-2036.2357328237185,False,nominal,202
ROBUST_TEST_000052,265.9810607816576,-12.402087412813252,377.7187592768989,-12.571666613462693,0.16957920064944076,-111.73769849524126,False,nominal,202
ROBUST_TEST_000053,499.1431218239427,-71.64050938868148,780.9794311906599,-73.57204614995076,1.9315367612692853,-281.83630936671716,False,nominal,202
ROBUST_TEST_000054,380.513026397262,-53.24372247901295,722.14612659554,-54.29374643105087,1.0500239520379182,-341.63310019827793,False,nominal,202
ROBUST_TEST_000055,968.011217019338,-301.8956952847438,2225.630844367104,-301.8956952847438,0.0,-1257.6196273477663,False,nominal,202
ROBUST_TEST_000056,367.9189877143542,-85.70258063305175,1445.6592548210876,-86.55115689843223,0.8485762653804727,-1077.7402671067334,False,nominal,202
ROBUST_TEST_000057,-1194.9458087476612,-107.919768232091,-1579.011257811306,-107.919768232091,0.0,384.0654490636448,False,nominal,202
ROBUST_TEST_000058,25.09394220474379,-147.40994262352567,-459.6680685063541,-147.40994262352567,0.0,484.76201071109784,False,nominal,202
ROBUST_TEST_000059,382.1789380384297,-106.30323901352985,646.3663040044896,-107.58143678800128,1.2781977744714368,-264.18736596605993,False,nominal,202
ROBUST_TEST_000060,-2367.6395846341265,-94.04578653702264,-4733.436353290253,-95.31544718047918,1.2696606434565467,2365.796768656126,False,nominal,202
ROBUST_TEST_000061,289.1570116608529,-1.617678860980013,505.1065151067828,-1.7891688956972291,0.17149003471721613,-215.9495034459299,False,nominal,202
ROBUST_TEST_000062,-433.6992919936228,-99.80393103734158,1005.8661146635566,-100.70119311965588,0.8972620823142989,-1439.5654066571794,False,nominal,202
ROBUST_TEST_000063,-1055.8203050625884,-169.46805508279022,-3526.916109126616,-174.90689379089372,5.4388387081035034,2471.0958040640276,False,nominal,202
ROBUST_TEST_000000,-537.6018780211818,-149.75527951646015,-2900.387682889091,-154.36157528422018,4.606295767760031,2362.785804867909,False,nominal,303
ROBUST_TEST_000001,663.8951799868896,-389.0435113310846,1664.3522977670332,-389.0435113310846,0.0,-1000.4571177801436,False,nominal,303
ROBUST_TEST_000002,540.7750703572572,-174.30862380505087,1312.1378750537522,-180.3475573655809,6.03893356053004,-771.362804696495,False,nominal,303
ROBUST_TEST_000003,-1248.276228548631,-116.83147813932575,-3564.4907725432354,-119.06716900544252,2.2356908661167694,2316.2145439946044,False,nominal,303
ROBUST_TEST_000004,-863.0412396770728,-77.75899040992736,-1485.7040675289606,-79.84872577446663,2.0897353645392656,622.6628278518879,False,nominal,303
ROBUST_TEST_000005,-560.0551780159785,-293.6166919251019,-1170.4686334265002,-293.6166919251019,0.0,610.4134554105217,False,nominal,303
ROBUST_TEST_000006,-1652.2441109295378,-131.68831877863437,-3189.544802488033,-137.65174264967106,5.963423871036696,1537.3006915584951,False,nominal,303
ROBUST_TEST_000007,607.9467716134938,15.507350418772653,1355.3682815574086,15.8324654487621,-0.32511502998944763,-747.4215099439149,False,nominal,303
ROBUST_TEST_000008,-1423.251235081977,-250.52497443208628,-1654.0381556394743,-250.52497443208628,0.0,230.7869205574973,False,nominal,303
ROBUST_TEST_000009,-1445.7663305844897,-57.70243666225685,-5091.126409799228,-60.88960838539919,3.1871717231423418,3645.360079214738,False,nominal,303
ROBUST_TEST_000010,-785.6767462419862,-156.14673184052492,1071.1546630334328,-158.13005533219314,1.9833234916682159,-1856.831409275419,False,nominal,303
ROBUST_TEST_000011,-1797.3699784762148,-293.20134758659657,-3150.7944919656434,-264.5135771905012,-28.687770396095345,1353.4245134894286,True,nominal,303
ROBUST_TEST_000012,405.7159057611872,-241.10893706482227,-638.35171349415,-241.10893706482227,0.0,1044.0676192553371,False,nominal,303
ROBUST_TEST_000013,-1092.291405934949,-77.4822511035296,-5274.349789376171,-78.7709285114577,1.2886774079280912,4182.058383441223,False,nominal,303
ROBUST_TEST_000014,-829.9730594913988,-59.043108384446526,-693.4923951670515,-59.97458361214789,0.9314752277013625,-136.48066432434723,False,nominal,303
ROBUST_TEST_000015,-601.2706548384966,-102.63450117861387,-2209.779848043107,-105.47754616727022,2.843044988656345,1608.5091932046103,False,nominal,303
ROBUST_TEST_000016,-1515.6352626188743,-137.11288333611623,-2552.9314091583,-142.6129453629371,5.500062026820871,1037.2961465394258,False,nominal,303
ROBUST_TEST_000017,-3565.4942106827702,-597.510347007084,2921.00915128664,-597.510347007084,0.0,-6486.50336196941,False,nominal,303
ROBUST_TEST_000018,-703.4246678940087,-104.40820312334314,-2252.3721243640075,-106.0623407311036,1.654137607760461,1548.9474564699988,False,nominal,303
ROBUST_TEST_000019,597.2267790244588,-226.3953794451516,2306.31216667573,-226.3953794451516,0.0,-1709.0853876512715,False,nominal,303
ROBUST_TEST_000020,-789.1094692957266,-97.17597101829264,750.2172831717743,-98.95099342478466,1.7750224064920133,-1539.326752467501,False,nominal,303
ROBUST_TEST_000021,-2588.415672592146,-180.1417648190081,-3309.5505661736047,-180.1417648190081,0.0,721.1348935814585,False,nominal,303
ROBUST_TEST_000022,-2565.938244847883,-322.1539604216773,2241.4896468872835,-330.47468455114813,8.320724129470818,-4807.427891735167,False,nominal,303
ROBUST_TEST_000023,-898.6636314606698,-112.14686475229595,866.2995843463991,-112.47548097227816,0.3286162199822087,-1764.963215807069,False,nominal,303
ROBUST_TEST_000024,-2526.0234146512908,-106.0006501061124,-5359.109535560719,-108.04151743914584,2.0408673330334324,2833.0861209094287,False,nominal,303
ROBUST_TEST_000025,-1501.7641709402749,-135.9073265086693,-5107.061081799952,-139.55913495694847,3.651808448279155,3605.296910859677,False,nominal,303
ROBUST_TEST_000026,-1498.2697620768806,-193.4161938316312,-4621.677012929588,-199.4220863187937,6.005892487162498,3123.407250852708,False,nominal,303
ROBUST_TEST_000027,-119.9481810648148,-200.21529820925184,-4792.886220655644,-200.21529820925184,0.0,4672.938039590829,False,nominal,303
ROBUST_TEST_000028,-974.1197580272468,-208.19235343224187,1124.5255495911472,-214.27482454925803,6.082471117016155,-2098.645307618394,False,nominal,303
ROBUST_TEST_000029,655.2169582397137,-139.34484883594644,1348.0328549250294,-142.4206928046302,3.075843968683756,-692.8158966853157,False,nominal,303
ROBUST_TEST_000030,471.5150914738426,-11.338533570242465,1493.663688126066,-12.256439205590857,0.9179056353483919,-1022.1485966522234,False,nominal,303
ROBUST_TEST_000031,-571.5299591846834,-374.9130085396963,-4961.14001341681,-374.9130085396963,0.0,4389.6100542321265,False,nominal,303
ROBUST_TEST_000032,-1217.3505116238523,-291.55371250446285,-1551.3382955518755,-306.93257708182267,15.37886457735982,333.9877839280232,False,nominal,303
ROBUST_TEST_000033,-161.03306512122973,-87.34550657061214,1197.4655855285991,-88.34699894352671,1.0014923729145693,-1358.498650649829,False,nominal,303
ROBUST_TEST_000034,-1740.6590277048374,-2073.128024126232,-3643.16283963634,-265.63476913767784,-1807.4932549885543,1902.5038119315025,True,nominal,303
ROBUST_TEST_000035,849.3574676569988,-63.90164011746651,2300.9967236881635,-64.90379596170845,1.0021558442419405,-1451.6392560311647,False,nominal,303
ROBUST_TEST_000036,560.511267298872,-380.9073268716862,-2018.7582223009088,-386.76443856083137,5.8571116891451425,2579.2694895997806,False,nominal,303
ROBUST_TEST_000037,522.674667069495,-43.493654056989136,2340.753640144309,-43.493654056989136,0.0,-1818.078973074814,False,nominal,303
ROBUST_TEST_000038,457.1438245330006,-51.46064161083349,809.0895353598589,-52.334246704276886,0.8736050934433948,-351.9457108268583,False,nominal,303
ROBUST_TEST_000039,-731.7741896371939,-226.09005442953185,1592.4487269910246,-229.2009801069977,3.1109256774658434,-2324.2229166282186,False,nominal,303
ROBUST_TEST_000040,357.455925964357,-54.23013942233895,1440.3175595656903,-54.76213905214033,0.5319996298013763,-1082.8616336013333,False,nominal,303
ROBUST_TEST_000041,605.5588587373526,-204.240100976853,2109.231516105405,-204.240100976853,0.0,-1503.6726573680521,False,nominal,303
ROBUST_TEST_000042,-515.7202489354668,-50.614610889219605,-2541.845724383621,-50.614610889219605,0.0,2026.1254754481542,False,nominal,303
ROBUST_TEST_000043,-1246.3680893340904,-208.06232379080532,-149.05082464128685,-208.06232379080532,0.0,-1097.3172646928035,False,nominal,303
ROBUST_TEST_000044,-295.9655990053169,-75.03483963575117,-561.8680520913399,-76.05742437411179,1.0225847383606208,265.902453086023,False,nominal,303
ROBUST_TEST_000045,524.9045548613567,-25.607289501568594,1113.426891831969,-25.607289501568594,0.0,-588.5223369706123,False,nominal,303
ROBUST_TEST_000046,-1514.3557612052334,-90.59571287402188,2069.1690679629764,-90.59571287402188,0.0,-3583.52482916821,False,nominal,303
ROBUST_TEST_000047,-2113.216250323902,-291.84761768911955,-2601.047069903572,-291.84761768911955,0.0,487.8308195796699,False,nominal,303
ROBUST_TEST_000048,-2635.4926151274976,-533.4446878162307,-5825.3532581936415,-533.4446878162307,0.0,3189.860643066144,False,nominal,303
ROBUST_TEST_000049,-1022.063279019764,-220.31759255693527,-2935.0757326664434,-221.953554193446,1.6359616365107286,1913.0124536466794,False,nominal,303
ROBUST_TEST_000050,253.41335682764856,-61.839118584710896,680.6011387062905,-63.14269293207939,1.303574347368496,-427.18778187864194,False,nominal,303
ROBUST_TEST_000051,460.936094065536,-137.79602482855435,2497.1718268892546,-140.2426294307302,2.446604602175853,-2036.2357328237185,False,nominal,303
ROBUST_TEST_000052,265.9810607816576,-12.402087412813252,377.7187592768989,-12.571666613462693,0.16957920064944076,-111.73769849524126,False,nominal,303
ROBUST_TEST_000053,499.1431218239427,-71.64050938868148,780.9794311906599,-73.57204614995076,1.9315367612692853,-281.83630936671716,False,nominal,303
ROBUST_TEST_000054,380.513026397262,-53.24372247901295,722.14612659554,-54.29374643105087,1.0500239520379182,-341.63310019827793,False,nominal,303
ROBUST_TEST_000055,968.011217019338,-301.8956952847438,2225.630844367104,-301.8956952847438,0.0,-1257.6196273477663,False,nominal,303
ROBUST_TEST_000056,367.9189877143542,-85.70258063305175,1445.6592548210876,-86.55115689843223,0.8485762653804727,-1077.7402671067334,False,nominal,303
ROBUST_TEST_000057,-1194.9458087476612,-107.919768232091,-1579.011257811306,-107.919768232091,0.0,384.0654490636448,False,nominal,303
ROBUST_TEST_000058,25.09394220474379,-147.40994262352567,-459.6680685063541,-147.40994262352567,0.0,484.76201071109784,False,nominal,303
ROBUST_TEST_000059,382.1789380384297,-106.30323901352985,646.3663040044896,-107.58143678800128,1.2781977744714368,-264.18736596605993,False,nominal,303
ROBUST_TEST_000060,-2367.6395846341265,-94.04578653702264,-4733.436353290253,-95.31544718047918,1.2696606434565467,2365.796768656126,False,nominal,303
ROBUST_TEST_000061,289.1570116608529,-1.617678860980013,505.1065151067828,-1.7891688956972291,0.17149003471721613,-215.9495034459299,False,nominal,303
ROBUST_TEST_000062,-433.6992919936228,-99.80393103734158,1005.8661146635566,-100.70119311965588,0.8972620823142989,-1439.5654066571794,False,nominal,303
ROBUST_TEST_000063,-1055.8203050625884,-169.46805508279022,-3526.916109126616,-174.90689379089372,5.4388387081035034,2471.0958040640276,False,nominal,303
ROBUST_TEST_000000,-537.6018780211818,-149.75527951646015,-2900.387682889091,-154.36157528422018,4.606295767760031,2362.785804867909,False,nominal,404
ROBUST_TEST_000001,663.8951799868896,-389.0435113310846,1664.3522977670332,-389.0435113310846,0.0,-1000.4571177801436,False,nominal,404
ROBUST_TEST_000002,540.7750703572572,-174.30862380505087,1312.1378750537522,-180.3475573655809,6.03893356053004,-771.362804696495,False,nominal,404
ROBUST_TEST_000003,-1248.276228548631,-116.83147813932575,-3564.4907725432354,-119.06716900544252,2.2356908661167694,2316.2145439946044,False,nominal,404
ROBUST_TEST_000004,-863.0412396770728,-77.75899040992736,-1485.7040675289606,-79.84872577446663,2.0897353645392656,622.6628278518879,False,nominal,404
ROBUST_TEST_000005,-560.0551780159785,-293.6166919251019,-1170.4686334265002,-293.6166919251019,0.0,610.4134554105217,False,nominal,404
ROBUST_TEST_000006,-1652.2441109295378,-131.68831877863437,-3189.544802488033,-137.65174264967106,5.963423871036696,1537.3006915584951,False,nominal,404
ROBUST_TEST_000007,607.9467716134938,15.507350418772653,1355.3682815574086,15.8324654487621,-0.32511502998944763,-747.4215099439149,False,nominal,404
ROBUST_TEST_000008,-1423.251235081977,-250.52497443208628,-1654.0381556394743,-250.52497443208628,0.0,230.7869205574973,False,nominal,404
ROBUST_TEST_000009,-1445.7663305844897,-57.70243666225685,-5091.126409799228,-60.88960838539919,3.1871717231423418,3645.360079214738,False,nominal,404
ROBUST_TEST_000010,-785.6767462419862,-156.14673184052492,1071.1546630334328,-158.13005533219314,1.9833234916682159,-1856.831409275419,False,nominal,404
ROBUST_TEST_000011,-1797.3699784762148,-293.20134758659657,-3150.7944919656434,-264.5135771905012,-28.687770396095345,1353.4245134894286,True,nominal,404
ROBUST_TEST_000012,405.7159057611872,-241.10893706482227,-638.35171349415,-241.10893706482227,0.0,1044.0676192553371,False,nominal,404
ROBUST_TEST_000013,-1092.291405934949,-77.4822511035296,-5274.349789376171,-78.7709285114577,1.2886774079280912,4182.058383441223,False,nominal,404
ROBUST_TEST_000014,-829.9730594913988,-59.043108384446526,-693.4923951670515,-59.97458361214789,0.9314752277013625,-136.48066432434723,False,nominal,404
ROBUST_TEST_000015,-601.2706548384966,-102.63450117861387,-2209.779848043107,-105.47754616727022,2.843044988656345,1608.5091932046103,False,nominal,404
ROBUST_TEST_000016,-1515.6352626188743,-137.11288333611623,-2552.9314091583,-142.6129453629371,5.500062026820871,1037.2961465394258,False,nominal,404
ROBUST_TEST_000017,-3565.4942106827702,-597.510347007084,2921.00915128664,-597.510347007084,0.0,-6486.50336196941,False,nominal,404
ROBUST_TEST_000018,-703.4246678940087,-104.40820312334314,-2252.3721243640075,-106.0623407311036,1.654137607760461,1548.9474564699988,False,nominal,404
ROBUST_TEST_000019,597.2267790244588,-226.3953794451516,2306.31216667573,-226.3953794451516,0.0,-1709.0853876512715,False,nominal,404
ROBUST_TEST_000020,-789.1094692957266,-97.17597101829264,750.2172831717743,-98.95099342478466,1.7750224064920133,-1539.326752467501,False,nominal,404
ROBUST_TEST_000021,-2588.415672592146,-180.1417648190081,-3309.5505661736047,-180.1417648190081,0.0,721.1348935814585,False,nominal,404
ROBUST_TEST_000022,-2565.938244847883,-322.1539604216773,2241.4896468872835,-330.47468455114813,8.320724129470818,-4807.427891735167,False,nominal,404
ROBUST_TEST_000023,-898.6636314606698,-112.14686475229595,866.2995843463991,-112.47548097227816,0.3286162199822087,-1764.963215807069,False,nominal,404
ROBUST_TEST_000024,-2526.0234146512908,-106.0006501061124,-5359.109535560719,-108.04151743914584,2.0408673330334324,2833.0861209094287,False,nominal,404
ROBUST_TEST_000025,-1501.7641709402749,-135.9073265086693,-5107.061081799952,-139.55913495694847,3.651808448279155,3605.296910859677,False,nominal,404
ROBUST_TEST_000026,-1498.2697620768806,-193.4161938316312,-4621.677012929588,-199.4220863187937,6.005892487162498,3123.407250852708,False,nominal,404
ROBUST_TEST_000027,-119.9481810648148,-200.21529820925184,-4792.886220655644,-200.21529820925184,0.0,4672.938039590829,False,nominal,404
ROBUST_TEST_000028,-974.1197580272468,-208.19235343224187,1124.5255495911472,-214.27482454925803,6.082471117016155,-2098.645307618394,False,nominal,404
ROBUST_TEST_000029,655.2169582397137,-139.34484883594644,1348.0328549250294,-142.4206928046302,3.075843968683756,-692.8158966853157,False,nominal,404
ROBUST_TEST_000030,471.5150914738426,-11.338533570242465,1493.663688126066,-12.256439205590857,0.9179056353483919,-1022.1485966522234,False,nominal,404
ROBUST_TEST_000031,-571.5299591846834,-374.9130085396963,-4961.14001341681,-374.9130085396963,0.0,4389.6100542321265,False,nominal,404
ROBUST_TEST_000032,-1217.3505116238523,-291.55371250446285,-1551.3382955518755,-306.93257708182267,15.37886457735982,333.9877839280232,False,nominal,404
ROBUST_TEST_000033,-161.03306512122973,-87.34550657061214,1197.4655855285991,-88.34699894352671,1.0014923729145693,-1358.498650649829,False,nominal,404
ROBUST_TEST_000034,-1740.6590277048374,-2073.128024126232,-3643.16283963634,-265.63476913767784,-1807.4932549885543,1902.5038119315025,True,nominal,404
ROBUST_TEST_000035,849.3574676569988,-63.90164011746651,2300.9967236881635,-64.90379596170845,1.0021558442419405,-1451.6392560311647,False,nominal,404
ROBUST_TEST_000036,560.511267298872,-380.9073268716862,-2018.7582223009088,-386.76443856083137,5.8571116891451425,2579.2694895997806,False,nominal,404
ROBUST_TEST_000037,522.674667069495,-43.493654056989136,2340.753640144309,-43.493654056989136,0.0,-1818.078973074814,False,nominal,404
ROBUST_TEST_000038,457.1438245330006,-51.46064161083349,809.0895353598589,-52.334246704276886,0.8736050934433948,-351.9457108268583,False,nominal,404
ROBUST_TEST_000039,-731.7741896371939,-226.09005442953185,1592.4487269910246,-229.2009801069977,3.1109256774658434,-2324.2229166282186,False,nominal,404
ROBUST_TEST_000040,357.455925964357,-54.23013942233895,1440.3175595656903,-54.76213905214033,0.5319996298013763,-1082.8616336013333,False,nominal,404
ROBUST_TEST_000041,605.5588587373526,-204.240100976853,2109.231516105405,-204.240100976853,0.0,-1503.6726573680521,False,nominal,404
ROBUST_TEST_000042,-515.7202489354668,-50.614610889219605,-2541.845724383621,-50.614610889219605,0.0,2026.1254754481542,False,nominal,404
ROBUST_TEST_000043,-1246.3680893340904,-208.06232379080532,-149.05082464128685,-208.06232379080532,0.0,-1097.3172646928035,False,nominal,404
ROBUST_TEST_000044,-295.9655990053169,-75.03483963575117,-561.8680520913399,-76.05742437411179,1.0225847383606208,265.902453086023,False,nominal,404
ROBUST_TEST_000045,524.9045548613567,-25.607289501568594,1113.426891831969,-25.607289501568594,0.0,-588.5223369706123,False,nominal,404
ROBUST_TEST_000046,-1514.3557612052334,-90.59571287402188,2069.1690679629764,-90.59571287402188,0.0,-3583.52482916821,False,nominal,404
ROBUST_TEST_000047,-2113.216250323902,-291.84761768911955,-2601.047069903572,-291.84761768911955,0.0,487.8308195796699,False,nominal,404
ROBUST_TEST_000048,-2635.4926151274976,-533.4446878162307,-5825.3532581936415,-533.4446878162307,0.0,3189.860643066144,False,nominal,404
ROBUST_TEST_000049,-1022.063279019764,-220.31759255693527,-2935.0757326664434,-221.953554193446,1.6359616365107286,1913.0124536466794,False,nominal,404
ROBUST_TEST_000050,253.41335682764856,-61.839118584710896,680.6011387062905,-63.14269293207939,1.303574347368496,-427.18778187864194,False,nominal,404
ROBUST_TEST_000051,460.936094065536,-137.79602482855435,2497.1718268892546,-140.2426294307302,2.446604602175853,-2036.2357328237185,False,nominal,404
ROBUST_TEST_000052,265.9810607816576,-12.402087412813252,377.7187592768989,-12.571666613462693,0.16957920064944076,-111.73769849524126,False,nominal,404
ROBUST_TEST_000053,499.1431218239427,-71.64050938868148,780.9794311906599,-73.57204614995076,1.9315367612692853,-281.83630936671716,False,nominal,404
ROBUST_TEST_000054,380.513026397262,-53.24372247901295,722.14612659554,-54.29374643105087,1.0500239520379182,-341.63310019827793,False,nominal,404
ROBUST_TEST_000055,968.011217019338,-301.8956952847438,2225.630844367104,-301.8956952847438,0.0,-1257.6196273477663,False,nominal,404
ROBUST_TEST_000056,367.9189877143542,-85.70258063305175,1445.6592548210876,-86.55115689843223,0.8485762653804727,-1077.7402671067334,False,nominal,404
ROBUST_TEST_000057,-1194.9458087476612,-107.919768232091,-1579.011257811306,-107.919768232091,0.0,384.0654490636448,False,nominal,404
ROBUST_TEST_000058,25.09394220474379,-147.40994262352567,-459.6680685063541,-147.40994262352567,0.0,484.76201071109784,False,nominal,404
ROBUST_TEST_000059,382.1789380384297,-106.30323901352985,646.3663040044896,-107.58143678800128,1.2781977744714368,-264.18736596605993,False,nominal,404
ROBUST_TEST_000060,-2367.6395846341265,-94.04578653702264,-4733.436353290253,-95.31544718047918,1.2696606434565467,2365.796768656126,False,nominal,404
ROBUST_TEST_000061,289.1570116608529,-1.617678860980013,505.1065151067828,-1.7891688956972291,0.17149003471721613,-215.9495034459299,False,nominal,404
ROBUST_TEST_000062,-433.6992919936228,-99.80393103734158,1005.8661146635566,-100.70119311965588,0.8972620823142989,-1439.5654066571794,False,nominal,404
ROBUST_TEST_000063,-1055.8203050625884,-169.46805508279022,-3526.916109126616,-174.90689379089372,5.4388387081035034,2471.0958040640276,False,nominal,404
ROBUST_TEST_000000,-537.6018780211818,-149.75527951646015,-2900.387682889091,-154.36157528422018,4.606295767760031,2362.785804867909,False,nominal,505
ROBUST_TEST_000001,663.8951799868896,-389.0435113310846,1664.3522977670332,-389.0435113310846,0.0,-1000.4571177801436,False,nominal,505
ROBUST_TEST_000002,540.7750703572572,-174.30862380505087,1312.1378750537522,-180.3475573655809,6.03893356053004,-771.362804696495,False,nominal,505
ROBUST_TEST_000003,-1248.276228548631,-116.83147813932575,-3564.4907725432354,-119.06716900544252,2.2356908661167694,2316.2145439946044,False,nominal,505
ROBUST_TEST_000004,-863.0412396770728,-77.75899040992736,-1485.7040675289606,-79.84872577446663,2.0897353645392656,622.6628278518879,False,nominal,505
ROBUST_TEST_000005,-560.0551780159785,-293.6166919251019,-1170.4686334265002,-293.6166919251019,0.0,610.4134554105217,False,nominal,505
ROBUST_TEST_000006,-1652.2441109295378,-131.68831877863437,-3189.544802488033,-137.65174264967106,5.963423871036696,1537.3006915584951,False,nominal,505
ROBUST_TEST_000007,607.9467716134938,15.507350418772653,1355.3682815574086,15.8324654487621,-0.32511502998944763,-747.4215099439149,False,nominal,505
ROBUST_TEST_000008,-1423.251235081977,-250.52497443208628,-1654.0381556394743,-250.52497443208628,0.0,230.7869205574973,False,nominal,505
ROBUST_TEST_000009,-1445.7663305844897,-57.70243666225685,-5091.126409799228,-60.88960838539919,3.1871717231423418,3645.360079214738,False,nominal,505
ROBUST_TEST_000010,-785.6767462419862,-156.14673184052492,1071.1546630334328,-158.13005533219314,1.9833234916682159,-1856.831409275419,False,nominal,505
ROBUST_TEST_000011,-1797.3699784762148,-293.20134758659657,-3150.7944919656434,-264.5135771905012,-28.687770396095345,1353.4245134894286,True,nominal,505
ROBUST_TEST_000012,405.7159057611872,-241.10893706482227,-638.35171349415,-241.10893706482227,0.0,1044.0676192553371,False,nominal,505
ROBUST_TEST_000013,-1092.291405934949,-77.4822511035296,-5274.349789376171,-78.7709285114577,1.2886774079280912,4182.058383441223,False,nominal,505
ROBUST_TEST_000014,-829.9730594913988,-59.043108384446526,-693.4923951670515,-59.97458361214789,0.9314752277013625,-136.48066432434723,False,nominal,505
ROBUST_TEST_000015,-601.2706548384966,-102.63450117861387,-2209.779848043107,-105.47754616727022,2.843044988656345,1608.5091932046103,False,nominal,505
ROBUST_TEST_000016,-1515.6352626188743,-137.11288333611623,-2552.9314091583,-142.6129453629371,5.500062026820871,1037.2961465394258,False,nominal,505
ROBUST_TEST_000017,-3565.4942106827702,-597.510347007084,2921.00915128664,-597.510347007084,0.0,-6486.50336196941,False,nominal,505
ROBUST_TEST_000018,-703.4246678940087,-104.40820312334314,-2252.3721243640075,-106.0623407311036,1.654137607760461,1548.9474564699988,False,nominal,505
ROBUST_TEST_000019,597.2267790244588,-226.3953794451516,2306.31216667573,-226.3953794451516,0.0,-1709.0853876512715,False,nominal,505
ROBUST_TEST_000020,-789.1094692957266,-97.17597101829264,750.2172831717743,-98.95099342478466,1.7750224064920133,-1539.326752467501,False,nominal,505
ROBUST_TEST_000021,-2588.415672592146,-180.1417648190081,-3309.5505661736047,-180.1417648190081,0.0,721.1348935814585,False,nominal,505
ROBUST_TEST_000022,-2565.938244847883,-322.1539604216773,2241.4896468872835,-330.47468455114813,8.320724129470818,-4807.427891735167,False,nominal,505
ROBUST_TEST_000023,-898.6636314606698,-112.14686475229595,866.2995843463991,-112.47548097227816,0.3286162199822087,-1764.963215807069,False,nominal,505
ROBUST_TEST_000024,-2526.0234146512908,-106.0006501061124,-5359.109535560719,-108.04151743914584,2.0408673330334324,2833.0861209094287,False,nominal,505
ROBUST_TEST_000025,-1501.7641709402749,-135.9073265086693,-5107.061081799952,-139.55913495694847,3.651808448279155,3605.296910859677,False,nominal,505
ROBUST_TEST_000026,-1498.2697620768806,-193.4161938316312,-4621.677012929588,-199.4220863187937,6.005892487162498,3123.407250852708,False,nominal,505
ROBUST_TEST_000027,-119.9481810648148,-200.21529820925184,-4792.886220655644,-200.21529820925184,0.0,4672.938039590829,False,nominal,505
ROBUST_TEST_000028,-974.1197580272468,-208.19235343224187,1124.5255495911472,-214.27482454925803,6.082471117016155,-2098.645307618394,False,nominal,505
ROBUST_TEST_000029,655.2169582397137,-139.34484883594644,1348.0328549250294,-142.4206928046302,3.075843968683756,-692.8158966853157,False,nominal,505
ROBUST_TEST_000030,471.5150914738426,-11.338533570242465,1493.663688126066,-12.256439205590857,0.9179056353483919,-1022.1485966522234,False,nominal,505
ROBUST_TEST_000031,-571.5299591846834,-374.9130085396963,-4961.14001341681,-374.9130085396963,0.0,4389.6100542321265,False,nominal,505
ROBUST_TEST_000032,-1217.3505116238523,-291.55371250446285,-1551.3382955518755,-306.93257708182267,15.37886457735982,333.9877839280232,False,nominal,505
ROBUST_TEST_000033,-161.03306512122973,-87.34550657061214,1197.4655855285991,-88.34699894352671,1.0014923729145693,-1358.498650649829,False,nominal,505
ROBUST_TEST_000034,-1740.6590277048374,-2073.128024126232,-3643.16283963634,-265.63476913767784,-1807.4932549885543,1902.5038119315025,True,nominal,505
ROBUST_TEST_000035,849.3574676569988,-63.90164011746651,2300.9967236881635,-64.90379596170845,1.0021558442419405,-1451.6392560311647,False,nominal,505
ROBUST_TEST_000036,560.511267298872,-380.9073268716862,-2018.7582223009088,-386.76443856083137,5.8571116891451425,2579.2694895997806,False,nominal,505
ROBUST_TEST_000037,522.674667069495,-43.493654056989136,2340.753640144309,-43.493654056989136,0.0,-1818.078973074814,False,nominal,505
ROBUST_TEST_000038,457.1438245330006,-51.46064161083349,809.0895353598589,-52.334246704276886,0.8736050934433948,-351.9457108268583,False,nominal,505
